Review,Brand,Flavour,Style,Country,Stars,Ratings
1,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,Definitely a new touch to my soul
2,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,So spicy!!
3,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,Meh
4,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,The brand reminds me of a friend
5,Ching's Secret,Singapore Curry,Pack,India,3.75,It is no secret that this Indian ramen is comparable to Tandori Chicken!
6,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,Popular around the world
7,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,Don't be fooled. This spicy ramen is delicious!!
8,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,One of a kind tray instant udon
9,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,
10,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,My favourite. I eat it every week
